MARRIAGE_DAYS_futcov,darts_enc_fc_cus_custom_1_futcov,TOTAL_FESTIVAL_DAYS_futcov,FESTIVE_PHASE_I_futcov,darts_enc_fc_pos_relative_futcov,PROP_FESTIVE_PHASE_III_futcov,darts_enc_fc_cyc_month_sin_futcov,darts_enc_fc_cus_custom_futcov,darts_enc_fc_cyc_month_cos_futcov,PROP_FESTIVE_PHASE_I_futcov,PROP_PITRU_PAKSH_futcov,FESTIVE_PHASE_III_futcov,PROP_FESTIVE_PHASE_II_futcov,PITRU_PAKSH_futcov,LAST_YEAR_CONTRIBUTION_futcov,FESTIVE_PHASE_II_futcov
0.4,0.8999999999999999,2.9000000000000004,3.5000000000000004,2.7,4.1000000000000005,5.5,6.7,6.2,6.800000000000001,10.2,8.9,8.4,10.299999999999999,11.799999999999999,10.8
0.4,0.8999999999999999,2.9000000000000004,3.5000000000000004,2.7,4.0,5.2,6.800000000000001,6.3,6.7,9.9,8.6,9.1,10.299999999999999,12.2,10.4
0.3,1.0,3.0,3.5999999999999996,3.5000000000000004,3.2,5.1,6.0,7.8,6.800000000000001,9.8,8.799999999999999,5.800000000000001,11.0,10.2,14.000000000000002
0.3,1.2,3.0,2.6,1.9,5.5,2.9000000000000004,5.1,6.5,5.7,6.9,9.6,16.5,7.6,8.0,16.7
0.5,0.8999999999999999,2.5,4.1000000000000005,2.9000000000000004,2.1999999999999997,4.5,5.4,7.3999999999999995,7.199999999999999,10.9,8.0,8.1,8.7,9.5,17.2
0.5,0.8999999999999999,2.1999999999999997,3.9,2.4,2.7,5.0,5.7,8.0,7.199999999999999,11.700000000000001,9.4,8.4,9.1,8.3,14.7
0.4,1.2,2.7,2.3,2.4,4.2,2.1999999999999997,7.8,4.7,5.3,5.3,5.6000000000000005,23.9,7.7,17.8,6.6000000000000005
0.4,1.2,2.7,2.4,2.4,4.0,2.1999999999999997,7.6,4.9,5.4,5.4,5.6000000000000005,24.2,7.7,17.2,6.5
0.4,1.0999999999999999,2.6,2.1,2.3,4.3,2.1,8.200000000000001,4.3999999999999995,5.4,5.2,5.6000000000000005,25.8,7.8,16.6,6.1
0.4,1.0999999999999999,2.5,2.1,2.1999999999999997,4.2,2.0,7.9,4.6,5.4,5.1,5.6000000000000005,27.700000000000003,7.7,15.4,5.8999999999999995
0.5,1.0999999999999999,2.5,2.1,2.1999999999999997,4.2,2.0,7.8,4.7,5.4,5.1,5.6000000000000005,28.4,7.7,14.899999999999999,5.8999999999999995
0.6,0.7000000000000001,2.5,4.3,2.7,4.2,7.3,7.1,5.4,7.199999999999999,13.4,7.9,7.199999999999999,10.9,9.5,9.0
0.7000000000000001,0.6,2.5,3.2,2.1,5.3,7.199999999999999,7.000000000000001,4.9,7.3,12.6,8.3,9.9,10.4,9.2,8.7
0.6,0.7000000000000001,2.4,3.2,2.1,4.9,6.6000000000000005,7.1,5.3,7.199999999999999,11.700000000000001,8.0,12.2,10.299999999999999,9.6,8.1
0.6,0.7000000000000001,2.3,3.1,2.1,4.8,6.4,7.199999999999999,5.5,7.1,11.3,7.8,13.4,10.2,9.6,8.0
0.5,0.8,1.9,3.1,1.9,4.1000000000000005,5.0,6.4,6.6000000000000005,7.3,10.5,8.7,16.7,9.8,8.6,8.0
0.4,0.8999999999999999,2.7,3.4000000000000004,2.7,3.5999999999999996,4.8,6.7,7.3,7.000000000000001,10.4,8.3,9.3,10.7,11.600000000000001,10.2
0.4,0.8999999999999999,2.6,3.3000000000000003,2.4,4.0,5.0,6.9,6.4,6.800000000000001,9.9,8.6,11.4,10.100000000000001,11.700000000000001,9.6
0.4,0.8999999999999999,2.6,3.2,2.4,4.0,4.7,7.000000000000001,6.5,6.800000000000001,9.5,8.3,12.6,10.0,11.899999999999999,9.3
0.4,1.0,2.9000000000000004,3.5000000000000004,3.0,3.5000000000000004,4.9,6.5,7.3,6.800000000000001,10.2,8.3,7.5,11.0,12.1,11.1
0.4,0.8,2.7,3.5000000000000004,2.7,4.1000000000000005,5.8999999999999995,6.800000000000001,6.0,7.000000000000001,10.8,9.2,8.5,11.0,10.8,9.9
0.4,0.8,2.9000000000000004,3.2,2.5,4.8,5.800000000000001,6.1,6.0,6.9,10.299999999999999,10.4,8.0,10.4,9.5,12.0
0.4,0.8,2.9000000000000004,3.5000000000000004,2.6,4.3,5.800000000000001,6.4,6.3,6.9,10.7,9.8,7.6,10.2,10.2,11.799999999999999
0.4,0.8999999999999999,2.9000000000000004,3.5000000000000004,2.6,4.2,5.7,6.5,6.3,6.9,10.6,9.6,7.9,10.2,10.5,11.5
0.4,0.8999999999999999,2.8000000000000003,3.5000000000000004,2.6,4.0,5.2,6.7,6.5,6.800000000000001,10.2,9.0,9.4,10.100000000000001,11.4,10.6
0.3,1.0,2.9000000000000004,3.5999999999999996,3.2,3.5000000000000004,5.2,6.4,7.3,6.800000000000001,10.2,8.4,6.7,11.200000000000001,11.799999999999999,11.600000000000001
