PROP_FESTIVE_PHASE_I_futcov,darts_enc_pc_cus_custom_1_pastcov,FESTIVE_PHASE_I_futcov,darts_enc_pc_cus_custom_pastcov,LAST_YEAR_CONTRIBUTION_futcov,darts_enc_pc_pos_relative_pastcov,darts_enc_fc_pos_relative_futcov,MARRIAGE_DAYS_futcov,PROP_FESTIVE_PHASE_III_futcov,PROP_PITRU_PAKSH_futcov,darts_enc_fc_cyc_month_sin_futcov,TOTAL_FESTIVAL_DAYS_futcov,darts_enc_fc_cus_custom_futcov,FESTIVE_PHASE_III_futcov,darts_enc_fc_cus_custom_1_futcov,darts_enc_fc_cyc_month_cos_futcov,darts_enc_pc_cyc_month_sin_pastcov,darts_enc_pc_cyc_month_cos_pastcov,FESTIVE_PHASE_II_futcov,NET_SALES_target,PITRU_PAKSH_futcov,PROP_FESTIVE_PHASE_II_futcov
1.3,1.7999999999999998,0.1,0.8,2.3,2.4,2.1999999999999997,2.1999999999999997,0.7000000000000001,2.8000000000000003,5.4,2.9000000000000004,5.4,4.8,2.7,4.7,3.3000000000000003,3.0,8.799999999999999,29.4,8.1,4.6
1.2,1.7000000000000002,0.8,0.8,2.1,2.1,2.1,2.1999999999999997,0.7000000000000001,2.6,4.3999999999999995,2.5,3.3000000000000003,4.7,4.2,4.0,4.2,3.0,9.700000000000001,27.800000000000004,9.9,6.1
1.0,1.5,0.2,0.8,1.7999999999999998,1.6,2.0,2.1,0.4,2.5,3.4000000000000004,2.4,3.0,4.6,2.6,3.6999999999999997,3.0,3.4000000000000004,11.799999999999999,27.400000000000002,13.600000000000001,7.3
1.0,1.5,0.2,0.8,1.9,1.7000000000000002,2.1,2.1,0.5,2.6,3.5000000000000004,2.4,3.1,4.6,2.6,3.6999999999999997,3.0,3.4000000000000004,11.799999999999999,27.3,13.3,6.9
1.0999999999999999,1.7000000000000002,0.8,0.8,2.3,2.5,2.1,2.1,0.6,2.6,4.7,2.4,3.2,4.7,4.3999999999999995,4.1000000000000005,4.2,2.1,8.799999999999999,31.0,7.5,6.1
1.0999999999999999,1.6,0.2,0.8,1.7000000000000002,1.7000000000000002,2.1,2.1999999999999997,0.5,2.6,3.6999999999999997,2.5,3.4000000000000004,4.6,2.7,3.8,3.1,3.6999999999999997,11.799999999999999,26.700000000000003,13.200000000000001,6.1
1.0999999999999999,1.7000000000000002,0.1,0.8,1.7999999999999998,1.9,2.1,2.1999999999999997,0.5,2.7,3.9,2.6,3.5000000000000004,4.7,2.7,3.9,3.2,3.4000000000000004,11.4,27.800000000000004,12.0,6.1
1.3,1.7000000000000002,0.8,0.8,2.1999999999999997,2.5,2.1,2.1999999999999997,0.8999999999999999,2.6,4.8,2.8000000000000003,5.3,4.6,4.1000000000000005,4.3999999999999995,4.2,3.0,8.3,29.299999999999997,7.9,4.3
1.0999999999999999,1.7000000000000002,0.1,0.8,2.1999999999999997,2.1,2.1,2.1,0.5,2.7,4.0,2.5,3.2,4.9,2.7,4.1000000000000005,3.2,2.6,10.4,30.8,9.3,7.000000000000001
1.0999999999999999,1.6,1.3,0.8,2.3,2.6,2.0,2.1,0.7000000000000001,2.4,4.7,2.3,3.0,4.2,7.8,4.0,4.5,1.9,7.7,31.0,6.6000000000000005,5.5
