darts_enc_pc_cyc_month_sin_pastcov,FESTIVE_PHASE_I_futcov,LAST_YEAR_CONTRIBUTION_futcov,darts_enc_fc_cus_custom_1_futcov,MARRIAGE_DAYS_futcov,darts_enc_fc_pos_relative_futcov,darts_enc_pc_cus_custom_pastcov,darts_enc_fc_cyc_month_sin_futcov,darts_enc_pc_pos_relative_pastcov,PROP_PITRU_PAKSH_futcov,darts_enc_fc_cus_custom_futcov,PROP_FESTIVE_PHASE_I_futcov,TOTAL_FESTIVAL_DAYS_futcov,PROP_FESTIVE_PHASE_III_futcov,FESTIVE_PHASE_III_futcov,darts_enc_fc_cyc_month_cos_futcov,FESTIVE_PHASE_II_futcov,darts_enc_pc_cus_custom_1_pastcov,NET_SALES_target,darts_enc_pc_cyc_month_cos_pastcov,PITRU_PAKSH_futcov,PROP_FESTIVE_PHASE_II_futcov
1.9,0.4,0.5,1.5,0.3,1.7000000000000002,0.3,3.9,2.1999999999999997,2.7,2.4,3.3000000000000003,3.1,3.5999999999999996,11.899999999999999,3.9,12.2,2.9000000000000004,19.0,6.7,11.4,4.1000000000000005
1.9,0.4,0.5,1.6,0.3,1.7000000000000002,0.4,3.8,1.9,2.7,2.4,3.2,3.1,3.5000000000000004,11.600000000000001,3.8,12.9,3.0,18.099999999999998,6.7,12.5,4.0
2.0,0.4,0.5,1.5,0.3,1.7000000000000002,0.3,3.9,2.4,2.7,2.5,3.4000000000000004,3.1,3.5999999999999996,11.899999999999999,3.9,12.3,2.9000000000000004,19.8,5.800000000000001,11.0,4.0
1.9,0.3,0.8,1.2,0.5,1.6,0.3,3.5999999999999996,8.5,2.1999999999999997,2.3,3.3000000000000003,2.6,2.9000000000000004,9.3,3.6999999999999997,9.700000000000001,8.5,21.7,3.8,7.8,3.4000000000000004
2.0,0.3,0.7000000000000001,1.3,0.3,1.7000000000000002,0.3,3.8,4.5,2.3,2.4,3.6999999999999997,2.9000000000000004,3.3000000000000003,10.9,3.6999999999999997,9.9,8.3,21.6,4.5,7.8,3.6999999999999997
1.7999999999999998,0.4,0.5,1.4000000000000001,0.3,1.7000000000000002,0.3,3.6999999999999997,2.4,2.5,2.4,3.3000000000000003,2.9000000000000004,3.3000000000000003,11.0,3.5999999999999996,10.9,8.4,20.1,4.9,10.299999999999999,3.9
1.7999999999999998,0.4,0.5,1.6,0.3,1.7999999999999998,0.4,3.6999999999999997,2.0,2.7,2.5,3.2,3.1,3.5000000000000004,11.4,3.6999999999999997,12.4,3.1,19.1,5.7,12.9,4.0
2.1,0.3,0.6,1.4000000000000001,0.3,1.7999999999999998,0.3,4.1000000000000005,2.9000000000000004,2.6,2.6,3.8,3.2,3.5999999999999996,11.799999999999999,4.0,11.5,2.8000000000000003,21.4,5.4,9.3,4.1000000000000005
1.7000000000000002,0.3,0.6,1.4000000000000001,0.3,1.6,0.4,3.6999999999999997,2.4,2.5,2.4,3.6999999999999997,3.0,3.5000000000000004,10.2,3.9,10.9,8.3,19.8,5.4,10.0,4.2
1.4000000000000001,0.4,0.5,1.5,0.3,1.7000000000000002,0.4,3.9,1.9,2.7,2.4,3.5000000000000004,3.2,3.6999999999999997,10.8,4.1000000000000005,11.799999999999999,2.9000000000000004,19.1,6.6000000000000005,12.8,4.5
1.7000000000000002,0.4,0.5,1.3,0.3,1.7000000000000002,0.3,3.6999999999999997,2.5,2.4,2.4,3.5000000000000004,2.9000000000000004,3.4000000000000004,11.1,3.8,10.2,8.3,20.8,4.9,9.700000000000001,4.1000000000000005
1.5,0.5,0.5,1.7000000000000002,0.2,1.7000000000000002,0.4,3.5999999999999996,1.6,2.8000000000000003,2.4,3.1,3.1,3.5000000000000004,11.0,3.6999999999999997,12.4,3.1,17.5,7.000000000000001,14.6,4.1000000000000005
1.7000000000000002,0.4,0.5,1.4000000000000001,0.3,1.7000000000000002,0.3,3.6999999999999997,2.1999999999999997,2.5,2.3,3.2,2.9000000000000004,3.4000000000000004,11.0,3.5999999999999996,10.9,8.4,19.5,5.1,10.9,3.9
2.0,0.3,0.6,1.4000000000000001,0.3,1.7000000000000002,0.3,4.0,3.4000000000000004,2.6,2.6,3.9,3.2,3.5999999999999996,11.4,4.1000000000000005,11.1,2.8000000000000003,21.2,5.6000000000000005,9.700000000000001,4.2
1.6,0.3,0.6,1.3,0.4,1.7000000000000002,0.4,3.9,3.5000000000000004,2.5,2.4,3.6999999999999997,3.0,3.5000000000000004,10.6,4.0,10.2,5.7,20.1,5.6000000000000005,10.7,4.3
2.3,0.4,0.6,1.2,0.4,1.6,0.3,4.3,5.4,2.4,2.9000000000000004,3.9,3.2,3.9,13.3,4.3999999999999995,9.3,2.6,18.099999999999998,9.0,6.6000000000000005,4.0
2.1,0.4,0.5,1.3,0.3,1.7000000000000002,0.3,3.8,2.6,2.4,2.4,3.2,2.9000000000000004,3.5000000000000004,12.3,3.6999999999999997,10.6,8.3,19.3,6.0,8.6,3.8
2.1999999999999997,0.2,0.6,1.2,0.5,1.4000000000000001,0.3,4.3,4.1000000000000005,2.6,2.9000000000000004,4.5,3.4000000000000004,3.8,11.4,4.5,11.200000000000001,2.6,20.7,6.0,7.199999999999999,4.2
2.0,0.3,0.5,1.4000000000000001,0.4,1.4000000000000001,0.3,4.1000000000000005,2.4,2.7,2.5,3.5000000000000004,3.2,3.5999999999999996,11.5,4.0,12.9,2.8000000000000003,18.9,6.9,10.100000000000001,4.2
2.1,0.3,0.6,1.4000000000000001,0.4,1.5,0.3,4.1000000000000005,3.1,2.6,2.5,3.5000000000000004,3.2,3.5999999999999996,11.4,4.1000000000000005,12.7,2.8000000000000003,20.1,5.8999999999999995,9.8,4.0
2.1,0.3,0.6,1.2,0.4,1.6,0.3,4.0,3.8,2.3,2.7,4.2,3.1,3.6999999999999997,12.0,4.2,9.3,8.200000000000001,20.1,5.800000000000001,6.3,3.9
1.9,0.4,0.5,1.6,0.3,1.7000000000000002,0.3,3.9,2.0,2.7,2.4,3.2,3.1,3.5999999999999996,11.899999999999999,3.9,12.4,3.0,18.3,7.199999999999999,11.700000000000001,4.1000000000000005
1.9,0.4,0.5,1.6,0.3,1.7000000000000002,0.4,3.9,1.9,2.7,2.4,3.2,3.1,3.5999999999999996,11.700000000000001,3.8,12.8,3.0,18.0,6.9,12.3,4.0
1.9,0.4,0.5,1.4000000000000001,0.3,1.6,0.3,3.6999999999999997,2.4,2.5,2.4,3.2,2.9000000000000004,3.4000000000000004,11.5,3.6999999999999997,11.200000000000001,8.4,19.1,5.6000000000000005,9.700000000000001,3.9
2.1,0.3,0.6,1.3,0.4,1.7999999999999998,0.3,4.1000000000000005,4.1000000000000005,2.4,2.6,4.0,3.0,3.5999999999999996,11.600000000000001,4.0,10.100000000000001,5.4,21.8,4.9,7.8,4.0
1.7999999999999998,0.3,0.6,1.2,0.3,1.6,0.3,3.9,3.3000000000000003,2.4,2.5,4.3,3.0,3.5000000000000004,10.299999999999999,4.0,9.9,8.200000000000001,21.4,4.9,8.1,4.1000000000000005
1.4000000000000001,0.4,0.5,1.6,0.3,1.7000000000000002,0.4,3.5999999999999996,1.6,2.8000000000000003,2.3,3.3000000000000003,3.1,3.5999999999999996,10.6,3.9,12.0,3.1,17.4,7.7,14.099999999999998,4.5
