MARRIAGE_DAYS_futcov,FESTIVE_PHASE_I_futcov,TOTAL_FESTIVAL_DAYS_futcov,darts_enc_fc_cus_custom_1_futcov,PROP_FESTIVE_PHASE_II_futcov,PROP_FESTIVE_PHASE_III_futcov,darts_enc_fc_pos_relative_futcov,FESTIVE_PHASE_II_futcov,LAST_YEAR_CONTRIBUTION_futcov,darts_enc_fc_cyc_month_cos_futcov,darts_enc_fc_cus_custom_futcov,PROP_FESTIVE_PHASE_I_futcov,FESTIVE_PHASE_III_futcov,PROP_PITRU_PAKSH_futcov,PITRU_PAKSH_futcov,darts_enc_fc_cyc_month_sin_futcov
1.5,1.4000000000000001,1.9,2.5,3.1,4.1000000000000005,4.6,5.8999999999999995,4.8,6.5,9.9,13.200000000000001,7.9,8.5,10.2,14.2
1.6,1.7999999999999998,1.5,2.5,5.4,4.2,4.7,5.3,5.800000000000001,8.799999999999999,7.199999999999999,7.3999999999999995,8.0,8.4,9.9,17.599999999999998
1.5,1.6,1.5,2.5,4.3,4.2,4.5,5.4,5.6000000000000005,8.200000000000001,7.7,9.2,8.3,7.7,10.6,17.1
1.5,1.4000000000000001,2.1,2.5,4.3,4.3999999999999995,4.3999999999999995,6.2,5.6000000000000005,7.9,8.799999999999999,11.0,7.6,6.4,10.299999999999999,15.7
1.4000000000000001,1.5,2.1999999999999997,2.5,4.7,4.3999999999999995,4.3999999999999995,6.7,5.800000000000001,8.200000000000001,8.1,9.1,7.3,7.199999999999999,9.700000000000001,16.8
1.5,1.5,2.1999999999999997,2.5,4.9,4.5,4.2,6.9,6.2,8.4,8.0,8.799999999999999,6.9,6.800000000000001,9.8,16.900000000000002
1.0,1.9,1.7999999999999998,2.8000000000000003,9.0,4.7,5.1,6.800000000000001,6.7,9.700000000000001,7.6,7.199999999999999,6.7,9.3,8.6,11.1
1.3,1.3,2.1,2.7,6.3,4.9,4.5,8.200000000000001,6.7,9.4,7.6,7.3,6.4,8.799999999999999,8.9,13.8
1.3,1.4000000000000001,4.1000000000000005,2.9000000000000004,4.6,5.5,3.4000000000000004,6.4,11.3,5.3,14.499999999999998,20.4,4.5,1.6,6.800000000000001,5.8999999999999995
1.6,2.1,1.3,2.5,2.9000000000000004,3.8,5.7,4.1000000000000005,5.2,6.4,7.6,9.6,11.700000000000001,10.7,10.7,14.299999999999999
